x,y,rl,crosectional_distance,khal_name
732240.0952,2460527.333,-0.08,60,
732238.0635,2460524.222,0.17,64,
732236.0317,2460521.111,0.67,68,
732235.0159,2460519.556,1.17,70,
732234,2460518,1.91,72,
732232.9841,2460516.444,1.9,74,
732231.9683,2460514.889,0.753,76,
732229.9365,2460511.778,0.76,80,
732228.4127,2460509.444,0.66,83,
732205,2460606.75,1.32,0,
732200.5,2460604.875,1.42,5,
732197.8,2460603.75,2.28,8,
732196,2460603,2.28,10,
732194.2,2460602.25,1.17,12,
732193.3,2460601.875,0.31,13,
732192.4,2460601.5,-0.06,14,
732191.5,2460601.125,-0.05,15,
732190.6,2460600.75,-0.01,16,
732189.7,2460600.375,0.03,17,
732188.8,2460600,-0.01,18,
732187.9,2460599.625,-0.01,19,
732187,2460599.25,-0.08,20,
732185.2,2460598.5,-0.07,22,
732183.4,2460597.75,-0.16,24,
732181.6,2460597,-0.29,26,
732180.7,2460596.625,-0.41,27,
732178.9,2460595.875,-0.46,29,
732177.1,2460595.125,-0.63,31,
732175.3,2460594.375,-0.61,33,
732173.5,2460593.625,-0.55,35,
732172.6,2460593.25,-0.48,36,
732169.9,2460592.125,-0.24,39,
732167.2,2460591,-0.04,42,
732165.4,2460590.25,-0.05,44,
732163.6,2460589.5,0.17,46,
732162.7,2460589.125,0.52,47,
732161.8,2460588.75,1.17,48,
732160,2460588,1.76,50,
732157.3,2460586.875,1.75,53,
732154.6,2460585.75,1.42,56,
732152.8,2460585,1.28,58,
732151,2460584.25,1.06,60,
732108.5,2460680,1.49,0,
732106.75,2460675.5,1.52,5,
732105.7,2460672.8,2.48,8,
732105,2460671,2.45,10,
732103.95,2460668.3,1.17,13,
732103.25,2460666.5,0.71,15,
732102.55,2460664.7,0.32,17,
732102.2,2460663.8,0.31,18,
732101.85,2460662.9,-0.11,19,
732101.5,2460662,-0.28,20,
732101.15,2460661.1,-0.49,21,
732100.8,2460660.2,-0.46,22,
732100.45,2460659.3,-0.45,23,
732100.1,2460658.4,-0.34,24,
732099.75,2460657.5,-0.7,25,
732099.4,2460656.6,-0.8,26,
732099.05,2460655.7,-0.49,27,
732098.7,2460654.8,-0.18,28,
732098.35,2460653.9,-0.08,29,
732098,2460653,-0.03,30,
732097.65,2460652.1,0.01,31,
732097.3,2460651.2,-0.01,32,
732096.95,2460650.3,-0.06,33,
732096.6,2460649.4,-0.08,34,
732095.9,2460647.6,-0.08,36,
732094.85,2460644.9,0.07,39,
732093.8,2460642.2,-0.04,42,
732092.75,2460639.5,0.07,45,
732092.05,2460637.7,0.31,47,
732091.35,2460635.9,1.17,49,
732091,2460635,1.29,50,
732089.95,2460632.3,1.84,53,
732089.6,2460631.4,1.63,54,
732088.2,2460627.8,1.61,58,
732026.7308,2460705.5,1.91,0,
732022.6923,2460701,1.93,6,
732021.3462,2460699.5,2.65,8,
732020,2460698,2.67,10,
732017.9808,2460695.75,1.17,13,
732015.9615,2460693.5,0.12,16,
732014.6154,2460692,0.09,18,
732012.5962,2460689.75,0.07,21,
732010.5769,2460687.5,0,24,
732008.5577,2460685.25,-0.91,27,
732006.5385,2460683,-0.89,30,
732005.8654,2460682.25,-0.35,31,
732005.1923,2460681.5,-1.6,32,
732004.5192,2460680.75,-0.01,33,
732003.1731,2460679.25,-0.04,35,
732002.5,2460678.5,-0.06,36,
732001.8269,2460677.75,-0.08,37,
732001.1538,2460677,-0.09,38,
732000.4808,2460676.25,-0.1,39,
731999.8077,2460675.5,-0.12,40,
731998.4615,2460674,-0.11,42,
731997.1154,2460672.5,-0.1,44,
731996.4423,2460671.75,-0.09,45,
731995.0962,2460670.25,-0.03,47,
