X-ID,Chanage,Directon,UTM_X,UTM_Y,x,y,,Distance,RL_m(PWD),Remarks,Surveyor Name,XsectionNo,origin_x,origin_y,del_s,chn
10,800,L to R,,,735605,2465122.118,,17,-0.85,,,GBR_9,,,,
10,800,L to R,,,735606,2465122.529,,18,-0.39,,,GBR_9,,,,
10,800,L to R,,,735607,2465122.941,,19,0.03,,,GBR_9,,,,
10,800,L to R,,,735608,2465123.353,,20,0.5,,,GBR_9,,,,
10,800,L to R,,,735609,2465123.765,,21,0.68,,,GBR_9,,,,
10,800,L to R,,,735610,2465124.176,,22,1.07,,,GBR_9,,,,
10,800,L to R,,,735611,2465124.588,,23,1.37,,,GBR_9,,,,
10,800,L to R,735612,2465125,735612,2465125,,24,2.79,RB,,GBR_9,,,,
10,800,L to R,,,735612.5,2465125.206,,24.5,1.71,DYKE,,GBR_9,,,,
10,800,L to R,,,735613,2465125.412,,25,1.55,Fishari,,GBR_9,,,,
10,800,L to R,,,735615,2465126.235,,27,0.97,Fishari,,GBR_9,,,,
10,800,L to R,,,735617,2465127.059,,29,0.97,Fishari,,GBR_9,,,,
10,800,L to R,,,735619,2465127.882,,31,0.68,Fishari,,GBR_9,,,,
10,800,L to R,,,735621,2465128.706,,33,0.67,Fishari,,GBR_9,,,,
10,800,L to R,,,735623,2465129.529,,35,0.67,Fishari,,GBR_9,,,,
10,800,L to R,,,735628,2465131.588,,40,0.64,Fishari,,GBR_9,,,,
11,900,L to R,,,735566.9,2465017.25,,0,0.84,Fishari,,GBR_10,,,,
11,900,L to R,,,735572.4,2465018.5,,5,0.83,,,GBR_10,,,,
11,900,L to R,,,735575.7,2465019.25,,8,0.83,,,GBR_10,,,,
11,900,L to R,,,735576.8,2465019.5,,9,1.36,,,GBR_10,,,,
11,900,L to R,,,735577.9,2465019.75,,10,1.34,,,GBR_10,,,,
11,900,L to R,,,735578.45,2465019.875,,10.5,1.64,Dyke,,GBR_10,,,,
11,900,L to R,735579,2465020,735579,2465020,,11,1.64,LB,,GBR_10,,,,
