x,y,rl,crosectional_distance,Khal_Name
733802.8571,2460514.286,1.83,29,10NoSora
733800,2460512,0.67,33,10NoSora
733795,2460508,0.64,40,10NoSora
733734.5714,2460586.429,0.53,0,10NoSora
733733.5,2460584.5,0.73,3,10NoSora
733732.4286,2460582.571,1.13,6,10NoSora
733731.7143,2460581.286,1.79,8,10NoSora
733731,2460580,1.77,10,10NoSora
733730.2857,2460578.714,0.73,12,10NoSora
733729.9286,2460578.071,0.05,13,10NoSora
733729.5714,2460577.429,-0.4,14,10NoSora
733729.2143,2460576.786,-0.5,15,10NoSora
733728.8571,2460576.143,-0.41,16,10NoSora
733728.5,2460575.5,-0.32,17,10NoSora
733728.1429,2460574.857,-0.12,18,10NoSora
733727.7857,2460574.214,0.05,19,10NoSora
733727.4286,2460573.571,0.06,20,10NoSora
733727.0714,2460572.929,0.12,21,10NoSora
733726.7143,2460572.286,0.73,22,10NoSora
733726,2460571,1.95,24,10NoSora
733725.2857,2460569.714,1.97,26,10NoSora
733724.5714,2460568.429,1.17,28,10NoSora
733723.8571,2460567.143,0.22,30,10NoSora
733722.7857,2460565.214,-0.17,33,10NoSora
733722.0714,2460563.929,-0.19,35,10NoSora
733657.2,2460635.8,0.68,0,10NoSora
733648.4,2460628.6,0.71,8,10NoSora
733646.2,2460626.8,1.57,10,10NoSora
733644,2460625,1.58,12,10NoSora
733642.35,2460623.65,0.73,13.5,10NoSora
733641.8,2460623.2,-0.08,14,10NoSora
733640.7,2460622.3,-0.22,15,10NoSora
733639.6,2460621.4,-0.22,16,10NoSora
733638.5,2460620.5,-0.3,17,10NoSora
733637.4,2460619.6,-0.41,18,10NoSora
733636.3,2460618.7,-0.29,19,10NoSora
733635.2,2460617.8,0.19,20,10NoSora
733634.1,2460616.9,0.73,21,10NoSora
733633,2460616,1.7,22,10NoSora
733629.7,2460613.3,1.68,25,10NoSora
733628.6,2460612.4,1.14,26,10NoSora
733624.2,2460608.8,1.11,30,10NoSora
733620.9,2460606.1,1.16,33,10NoSora
733630,2460707,0.33,0,10NoSora
733623.3333,2460707,0.27,5,10NoSora
733616.6667,2460707,0.37,10,10NoSora
733612.6667,2460707,1.48,13,10NoSora
733610,2460707,1.47,15,10NoSora
733608,2460707,0.73,16.5,10NoSora
733607.3333,2460707,0.53,17,10NoSora
733606,2460707,0.33,18,10NoSora
733604.6667,2460707,-0.32,19,10NoSora
733603.3333,2460707,-0.24,20,10NoSora
733602,2460707,-0.26,21,10NoSora
733600.6667,2460707,0.32,22,10NoSora
733599.3333,2460707,0.73,23,10NoSora
733598,2460707,1.96,24,10NoSora
733594.6667,2460707,1.97,26.5,10NoSora
733591.3333,2460707,0.45,29,10NoSora
733588.6667,2460707,0.31,31,10NoSora
733633.7143,2460777.571,1.34,0,10NoSora
733629.8571,2460782.286,1.35,3,10NoSora
733628.5714,2460783.857,1.58,4,10NoSora
733626,2460787,1.55,6,10NoSora
733624.7143,2460788.571,0.73,7,10NoSora
733623.4286,2460790.143,0.1,8,10NoSora
733622.1429,2460791.714,-0.34,9,10NoSora
733620.8571,2460793.286,-0.35,10,10NoSora
